ef,m,ef_construct,k,recall,qps,latency,time_span_query_finished
64,8,64,1,0.8204,90.33321192,0.01107012558,2024-03-08 17:15:11
64,8,64,10,0.76072,82.5633478,0.01211191196,2024-03-08 17:16:11
64,8,64,100,0.646828,59.84974698,0.0167085084,2024-03-08 17:17:12
64,8,512,1,0.8579096456,81.95435045,0.02634382723,2024-03-08 17:15:11
64,8,512,10,0.8419263734,80.27367041,0.02939443565,2024-03-08 17:15:11
64,8,512,100,0.7795152512,51.01891115,0.03206226196,2024-03-08 17:15:11
64,64,64,1,967.9338368,85.49231975,0.01381041327,2024-03-08 17:15:11
64,64,64,10,0.8959975089,83.49231975,0.01009252682,2024-03-08 17:15:11
64,64,64,100,0.8612380968,52.17981128,0.01506229048,2024-03-08 17:15:11
64,64,512,1,0.9161000624,88.82559687,0.009800187206,2024-03-08 17:15:11
64,64,512,10,0.9234988097,79.90872491,0.01063642912,2024-03-08 17:15:11
64,64,512,100,0.9139588946,50.31937652,0.01553268366,2024-03-08 17:15:11
512,8,64,1,0.9139209276,63.05375313,0.01286278276,2024-03-08 17:15:11
512,8,64,10,0.9257170596,35.44793496,0.01117117891,2024-03-08 17:15:11
512,8,64,100,0.9170581816,75.08801176,0.02107454481,2024-03-08 17:15:11
512,8,512,1,0.9171135148,81.83346377,0.01044054441,2024-03-08 17:15:11
512,8,512,10,0.930157496,58.97760335,0.01441248808,2024-03-08 17:15:11
512,8,512,100,0.9209500939,53.69500377,0.01364628162,2024-03-08 17:15:11
512,64,64,1,981.9332723,2.447263208,0.01211698952,2024-03-08 17:15:11
512,64,64,10,0.9402440759,18.26632002,0.03867222757,2024-03-08 17:15:11
512,64,64,100,0.9317921365,39.61945272,0.0191004096,2024-03-08 17:15:11
512,64,512,1,0.919641869,68.48625361,0.01202560711,2024-03-08 17:15:11
512,64,512,10,0.935755035,36.9957763,0.02376510506,2024-03-08 17:15:11
512,64,512,100,0.9357400193,30.92521847,0.02032405796,2024-03-08 17:15:11
,,,1,0.9807683441,4.311796266,0.1546050323,2024-03-08 17:15:11
,,,10,0.9753555968,4.647507516,0.1437667904,2024-03-08 17:15:11
,,,100,0.9784111662,4.51297695,0.1479174985,2024-03-08 17:15:11
