ef,m,ef_construct,k,recall,qps
64,8,64,1,0.67942526,99.60313366
64,8,64,10,0.61884388,92.28930612
64,8,64,100,0.50606538,67.8618737
64,8,512,1,0.7139906756,90.34748071
64,8,512,10,0.7038451034,87.84208948
64,8,512,100,0.6345685812,61.05251244
64,64,64,1,967.7996542,77.62247888
64,64,64,10,0.7659423889,76.25892897
64,64,64,100,0.7467037968,53.54915308
64,64,512,1,0.7936550624,79.47879336
64,64,512,10,0.8024111597,73.41433153
64,64,512,100,0.7938692146,51.98924823
512,8,64,1,0.7804078776,72.81928078
512,8,64,10,0.8210477996,53.77219617
512,8,64,100,0.8050995816,72.30467995
512,8,512,1,0.8025792148,82.80763429
512,8,512,10,0.807712496,66.32510936
512,8,512,100,0.7998624439,56.31548192
512,64,64,1,981.771598,18.75424405
512,64,64,10,0.7428339259,29.09871544
512,64,64,100,0.6928148565,42.49572403
512,64,512,1,0.832357499,61.53962356
512,64,512,10,0.882456715,40.34841308
512,64,512,100,0.8905898993,34.35907594
,,,1,0.9368645841,2.874530844
,,,10,0.9263591868,3.098338344
,,,100,0.9281958962,3.0086513
