ef,m,ef_construct,k,recall,qps,latency
64,8,64,1,0.9465,118.1429771,0.008464320302
64,8,64,10,0.933,111.7412228,0.008949248767
64,8,64,100,0.888271,83.88612714,0.01192092226
64,8,512,1,0.9932,107.1337412,0.009334127498
64,8,512,10,0.98445,102.9789276,0.009710724545
64,8,512,100,0.944003,81.11971504,0.01232745948
64,64,64,1,0.9981,61.88279713,0.01615957983
64,64,64,10,0.99711,61.79214741,0.01618328609
64,64,64,100,0.984405,56.28783667,0.01776582756
64,64,512,1,0.999,60.78518636,0.01645137672
64,64,512,10,0.99881,60.42554477,0.01654929225
64,64,512,100,0.990653,55.32899165,0.01807370729
512,8,64,1,0.9873,92.35033609,0.01082833092
512,8,64,10,0.98401,90.4207186,0.01105941222
512,8,64,100,0.967943,66.73801633,0.01498396349
512,8,512,1,0.9991,84.75597533,0.01179857817
512,8,512,10,0.99937,81.02012138,0.01234261296
512,8,512,100,0.995424,61.55643821,0.01624525442
512,64,64,1,0.999,51.36820573,0.01946729472
512,64,64,10,0.9996,50.76350629,0.01969919088
512,64,64,100,0.997426,48.24826664,0.02072613318
512,64,512,1,0.9993,47.64636345,0.02098796062
512,64,512,10,0.99991,47.05368663,0.02125231988
512,64,512,100,0.999746,41.22679088,0.02425607181
