ef,m,ef_construct,k,recall,qps,latency,time_stamp_query_finished
64,8,64,1,0.6404,19.84090229,0.05040093365,8:53:53
64,8,64,10,0.60472,19.91635672,0.0502099864,8:56:36
64,8,64,100,0.545488,19.67985677,0.05081337795,8:59:08
64,8,512,1,0.6972,19.73165465,0.05067998695,9:30:08
64,8,512,10,0.66144,19.7543842,0.05062167416,9:33:03
64,8,512,100,0.590276,19.54921881,0.05115293913,9:35:47
64,64,64,1,0.8556,19.63789367,0.05092195816,9:53:16
64,64,64,10,0.81372,19.68713834,0.05079458389,9:56:14
64,64,64,100,0.741576,19.42410461,0.05148242455,9:58:57
64,64,512,1,0.932,19.84048967,0.05040198183,11:51:55
64,64,512,10,0.8978,19.88300512,0.05029420824,11:54:39
64,64,512,100,0.850324,19.51706314,0.05123721704,11:57:13
512,8,64,1,0.852,19.75372695,0.05062335844,12:06:36
512,8,64,10,0.82652,19.86392893,0.05034250793,12:09:20
512,8,64,100,0.752772,19.64414758,0.05090574665,12:11:52
512,8,512,1,0.9028,18.97050749,0.05271340265,12:45:24
512,8,512,10,0.87792,19.47430581,0.05134971228,12:48:10
512,8,512,100,0.800588,19.38692679,0.0515811511,12:50:45
512,64,64,1,0.9768,17.73781204,0.05637673903,13:05:35
512,64,64,10,0.9548,17.87487656,0.05594444227,13:08:33
512,64,64,100,0.905316,17.28606786,0.05785005636,13:11:23
512,64,512,1,0.9992,16.5256956,0.06051182499,14:59:28
512,64,512,10,0.995,16.55602013,0.06040098963,15:02:36
512,64,512,100,0.98108,16.07831148,0.06219558573,15:05:36
,,,1,1,7.79137058,0.1283471232,15:13:15
,,,10,1,8.081781553,0.123735094,15:19:01
,,,100,1,7.978189878,0.1253417148,15:24:39
