ef,m,ef_construct,k,recall,qps,latency,time_span_insert
64,8,64,1,0.8956,105.7522588,0.009456062794,2024-03-07 23:36:50
64,8,64,10,0.88156,110.7812086,0.009026801682,2024-03-07 23:37:42
64,8,64,100,0.817588,94.12245916,0.01062445679,2024-03-07 23:38:29
64,8,512,1,0.9252,123.0173166,0.008128936863,2024-03-08 0:27:56
64,8,512,10,0.90916,120.4946982,0.008299120331,2024-03-08 0:28:48
64,8,512,100,0.845164,76.60631824,0.01305375357,2024-03-08 0:29:40
64,64,64,1,968,86.87785373,0.01151041327,2024-03-08 0:49:09
64,64,64,10,0.9634,128.3280794,0.007792526817,2024-03-08 0:50:00
64,64,64,100,0.926984,78.35584073,0.01276229048,2024-03-08 0:50:52
64,64,512,1,0.9836,133.3300053,0.007500187206,2024-03-08 2:17:30
64,64,512,10,0.99072,119.9554372,0.008336429119,2024-03-08 2:18:21
64,64,512,100,0.979548,75.57046067,0.01323268366,2024-03-08 2:19:16
512,8,64,1,0.9804,94.67202179,0.01056278276,2024-03-08 2:37:50
512,8,64,10,0.99276,112.7245893,0.008871178913,2024-03-08 2:38:42
512,8,64,100,0.9808,53.26360826,0.01877454481,2024-03-08 2:39:52
512,8,512,1,0.9844,122.841907,0.008140544415,2024-03-08 3:30:48
512,8,512,10,0.99612,82.55942078,0.01211248808,2024-03-08 3:31:48
512,8,512,100,0.987168,88.13460067,0.01134628162,2024-03-08 3:32:37
512,64,64,1,982,101.864222,0.009816989517,2024-03-08 3:53:56
512,64,64,10,0.99812,27.49350443,0.03637222757,2024-03-08 3:56:05
512,64,64,100,0.996192,59.5223583,0.0168004096,2024-03-08 3:57:07
512,64,512,1,0.9864,102.8213446,0.009725607109,2024-03-08 5:27:44
512,64,512,10,0.9986,46.58723996,0.02146510506,2024-03-08 5:29:06
512,64,512,100,0.999732,55.4814017,0.01802405796,2024-03-08 5:30:12
,,,1,1,6.565771233,0.1523050323,2024-03-08 5:41:10
,,,10,0.9982,7.068796834,0.1414667904,2024-03-08 5:47:33
,,,100,0.999872,6.867306542,0.1456174985,2024-03-08 5:53:58
