experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,97.88416933213055,253.7053309129886,0.004171334132271739,0.9925271049284915
IVF,,,,10,57.78295489489161,254.84684009914056,0.004027446195645237,0.8474825110620722
IVF,,,,100,51.748280797083524,187.97800573440404,0.005294422474099867,0.6920288975581197
HNSW,8.0,64.0,128.0,1,18.580886034816455,261.13666475475816,0.004445705420286917,0.7638220099152275
HNSW,8.0,64.0,128.0,10,20.07764743773581,236.27930017604774,0.004560446365029543,0.6324036746486821
HNSW,8.0,64.0,128.0,100,19.11286636986685,181.7394696137559,0.005689325193804711,0.5098099594570695
HNSW,8.0,64.0,512.0,1,21.73177831096892,189.46612334620883,0.005440011228616911,0.7869972389860869
HNSW,8.0,64.0,512.0,10,27.533688114004498,181.61288378042923,0.005329761526702467,0.7792156116745768
HNSW,8.0,64.0,512.0,100,21.042181706463893,164.05960268674144,0.005935303855201602,0.6259498601068357
HNSW,8.0,512.0,128.0,1,68.93168561292099,326.86274210362217,0.0035552140298584674,0.6110426012821972
HNSW,8.0,512.0,128.0,10,76.87569834916867,267.8462957932426,0.0037754581864833784,0.6320980564411092
HNSW,8.0,512.0,128.0,100,63.27469474283642,200.6884931714481,0.005628400545597025,0.52822693885675
HNSW,8.0,512.0,512.0,1,60.9651024617543,222.21954496838976,0.004140853547042009,0.8016315611050205
HNSW,8.0,512.0,512.0,10,55.82603759086311,238.16877445026395,0.004100003103694962,0.7962291855510841
HNSW,8.0,512.0,512.0,100,56.75989308487847,177.85115991743257,0.005771643029220755,0.6635048570113597
HNSW,64.0,64.0,128.0,1,31.59476737903472,250.76084756344346,0.004113455351177394,0.8498700085930107
HNSW,64.0,64.0,128.0,10,35.402849730108045,272.75204163203534,0.0037916549646835876,0.8861429474913448
HNSW,64.0,64.0,128.0,100,31.24620721417278,171.4177786030041,0.006151656005733885,0.7540058078441716
HNSW,64.0,64.0,512.0,1,36.840941967427874,195.89245053296753,0.005264270810904253,0.9428871846166552
HNSW,64.0,64.0,512.0,10,35.877281851801385,171.45342551236277,0.005233982391840788,0.843987574507346
HNSW,64.0,64.0,512.0,100,32.04366880360709,137.72318556905898,0.006666142825408895,0.8723056256325246
HNSW,64.0,512.0,128.0,1,228.70991644534567,142.11686499321664,0.007453944392941637,0.8965405659683718
HNSW,64.0,512.0,128.0,10,235.49458896683888,155.12291329545886,0.006557779520302719,0.9664319432272624
HNSW,64.0,512.0,128.0,100,240.67526099910717,95.2635848451185,0.010845161580296301,0.7572382700566231
HNSW,64.0,512.0,512.0,1,205.50012834078282,106.69736529105349,0.009596026251187124,1.0663975209829684
HNSW,64.0,512.0,512.0,10,189.3792983027217,92.16085522388589,0.010333501785034668,1.0502014441810217
HNSW,64.0,512.0,512.0,100,183.40498910832602,95.66187464103413,0.009966729643409786,0.9750549067184795
