experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,98.94050002098083,250.09175328969053,0.003998532485961914,0.902
IVF,,,,10,62.97758889198303,262.9066659472464,0.0038036312103271485,0.86336
IVF,,,,100,54.84918022155762,189.09822858910377,0.0052882568359375,0.755536
HNSW,8,64,128,1,17.82885193824768,244.99175371031635,0.004081770038604736,0.6952
HNSW,8,64,128,10,18.411550283432007,236.71418027373554,0.004224503993988037,0.63364
HNSW,8,64,128,100,20.394762992858887,173.55619942417945,0.0057618224143981935,0.529128
HNSW,8,64,512,1,21.813522815704346,191.51533318430862,0.00522151403427124,0.7876
HNSW,8,64,512,10,26.425864934921265,190.49763131502473,0.005249409103393555,0.73036
HNSW,8,64,512,100,19.44066095352173,171.0581766252477,0.005845964336395264,0.654404
HNSW,8,512,128,1,65.28705596923828,306.28361974885803,0.003264947700500488,0.6652
HNSW,8,512,128,10,79.59839797019958,251.0929113407179,0.0039825895309448245,0.6622
HNSW,8,512,128,100,63.81451225280762,187.4462717547273,0.005334862041473389,0.549172
HNSW,8,512,512,1,66.59836506843567,221.85689543035426,0.004507410049438477,0.8048
HNSW,8,512,512,10,60.4021680355072,234.5744738205898,0.004263038444519043,0.77068
HNSW,8,512,512,100,56.35757803916931,179.5574429325268,0.005569248390197754,0.680976
HNSW,64,64,128,1,33.6502640247345,267.49722809028043,0.0037383564949035643,0.8732
HNSW,64,64,128,10,33.67261600494385,268.97476891714297,0.0037178208351135254,0.82936
HNSW,64,64,128,100,34.04079985618591,156.78088199532954,0.0063783287048339845,0.708844
HNSW,64,64,512,1,34.50576996803284,190.4688900655467,0.005250201225280761,0.9268
HNSW,64,64,512,10,34.58443093299866,176.44648369749294,0.005667440795898438,0.90316
HNSW,64,64,512,100,31.567439794540405,147.1234518045176,0.006797012901306152,0.829452
HNSW,64,512,128,1,219.6408498287201,142.12411479087774,0.007036103630065918,0.9372
HNSW,64,512,128,10,223.40570497512817,152.37159035696806,0.006562903213500977,0.90912
HNSW,64,512,128,100,242.96356296539307,102.0707798699511,0.00979712314605713,0.813488
HNSW,64,512,512,1,202.47235679626465,107.6904412090859,0.00928587522506714,0.9668
HNSW,64,512,512,10,201.87914538383484,97.7991050906588,0.01022504243850708,0.95296
HNSW,64,512,512,100,191.69167709350586,95.81103402153533,0.010437211227416992,0.90462
