experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,103.53407398265298,242.2689943783811,0.0041607475507374845,0.932089632476326
IVF,,,,10,61.201618742295366,255.69695933282208,0.003725868455687144,0.8380109994615835
IVF,,,,100,52.33723163351694,193.17016598110837,0.005517130579303817,0.7466410736544904
HNSW,8.0,64.0,128.0,1,18.508723937333087,252.36392805780108,0.004170489069012428,0.7217012074340879
HNSW,8.0,64.0,128.0,10,18.548041166689348,231.30893796295496,0.004265147868096375,0.658680289746631
HNSW,8.0,64.0,128.0,100,19.789843725728787,174.40281073215462,0.0057163832589475485,0.5243239226177124
HNSW,8.0,64.0,512.0,1,20.965414438644196,188.1826978469824,0.0051795882573567285,0.7957182634344442
HNSW,8.0,64.0,512.0,10,27.426558254113633,191.9242487924704,0.005399073124992819,0.7465860710679469
HNSW,8.0,64.0,512.0,100,19.945011004895818,163.64618148060458,0.005680295342582353,0.6450255991908362
HNSW,8.0,512.0,128.0,1,67.32182342730097,320.61254717901016,0.0033051616755241093,0.659656233080873
HNSW,8.0,512.0,128.0,10,75.68128758360922,262.8564879120484,0.00398073957884486,0.6930951165733868
HNSW,8.0,512.0,128.0,100,62.016498577018865,196.15667840439926,0.005409238289283012,0.5257617621101933
HNSW,8.0,512.0,512.0,1,65.41548552810954,214.34656918520707,0.004353390089853697,0.8437148181414718
HNSW,8.0,512.0,512.0,10,60.651229167752874,245.72654619429736,0.004318793806760818,0.7807248218735572
HNSW,8.0,512.0,512.0,100,55.50109207436135,174.92319312027695,0.005793273897640365,0.6471899500310898
HNSW,64.0,64.0,128.0,1,32.1409561622583,260.7544231478576,0.003882824215271731,0.8530247617416503
HNSW,64.0,64.0,128.0,10,35.155997815453055,259.5218406586799,0.0036704530008563195,0.8229083106712791
HNSW,64.0,64.0,128.0,100,33.34811851730226,164.14975483311767,0.006229517285097101,0.7180474274122649
HNSW,64.0,64.0,512.0,1,34.10622422632167,198.25556866557164,0.005286694959747717,0.9581336311841384
HNSW,64.0,64.0,512.0,10,36.112514895499935,175.26790216955254,0.005462166961023575,0.8941423033678514
HNSW,64.0,64.0,512.0,100,31.605460475503953,141.40075649384502,0.0065450474774638905,0.8620182094608981
HNSW,64.0,512.0,128.0,1,222.06063891951916,147.0349541108221,0.007236591326991252,0.9094741505241147
HNSW,64.0,512.0,128.0,10,226.80634821782238,150.62869696722825,0.006840076879641862,0.9421153638519668
HNSW,64.0,512.0,128.0,100,233.91911161763252,99.38314276885957,0.01005063222121187,0.8066246241841463
HNSW,64.0,512.0,512.0,1,202.81752617363935,103.02130709503004,0.009066048664846683,0.9974478226618383
HNSW,64.0,512.0,512.0,10,201.42130415083486,92.94152242040732,0.010454405337051349,0.9806912219633799
HNSW,64.0,512.0,512.0,100,189.12443784440404,95.91466602965049,0.010430599235056326,0.9275953527018763
