experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,81.14114093780518,2364.978748309845,0.0004228367805480957,0.9964
IVF,,,,10,82.19350695610046,1208.7711809259242,0.000827286434173584,0.99084
IVF,,,,100,52.76914691925049,1474.4754250111685,0.0006782073020935058,0.978828
HNSW,8,64,128,10,14.19408106803894,2980.911043666826,0.00033546791076660156,0.97632
HNSW,8,64,128,100,14.689725875854492,1504.892735547439,0.0006644991874694825,0.94892
HNSW,8,64,512,10,15.858682870864868,1714.7895892260474,0.0005831619262695312,0.9936
HNSW,8,64,512,100,13.838611125946045,1023.0521781236466,0.0009774672508239745,0.987956
HNSW,8,512,128,1,45.362788915634155,2632.401979944986,0.0003798811912536621,0.982
HNSW,8,512,128,10,49.30393409729004,2207.17248544761,0.00045306835174560545,0.9842
HNSW,8,512,128,100,48.4727668762207,1463.8768327323985,0.0006831175804138184,0.95604
HNSW,8,512,512,1,54.209880113601685,1832.583720810333,0.0005456776618957519,0.9932
HNSW,8,512,512,10,53.96334099769592,1937.8180142842966,0.0005160443305969239,0.9956
HNSW,8,512,512,100,38.56597709655762,1213.2919019647888,0.0008242039680480957,0.990236
HNSW,64,64,128,1,35.05066990852356,2333.624208466892,0.00042851800918579104,0.996
HNSW,64,64,128,10,19.952474117279053,1651.582206605913,0.0006054800033569336,0.993
HNSW,64,64,128,100,19.322907209396362,1571.0039313452871,0.00063653564453125,0.965944
HNSW,64,64,512,1,24.457571029663086,1509.7253967511222,0.0006623721122741699,0.996
HNSW,64,64,512,10,16.40495729446411,1604.6725412145993,0.0006231801033020019,0.99628
HNSW,64,64,512,100,22.039155960083008,1195.231911758269,0.00083665771484375,0.99238
HNSW,64,512,128,1,85.5684380531311,2158.349851694959,0.0004633169174194336,0.996
HNSW,64,512,128,10,82.99725008010864,1937.1525016922299,0.0005162216186523437,0.99612
HNSW,64,512,128,100,81.35919404029846,1426.1917971284822,0.0007011679649353027,0.990844
HNSW,64,512,512,1,93.70606398582458,1311.514777955441,0.0007624771118164063,0.996
HNSW,64,512,512,10,89.55573606491089,1284.505648168962,0.0007785096168518067,0.99644
HNSW,64,512,512,100,91.61474204063416,987.0740792235919,0.001013095188140869,0.993044
