experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,56.952836990356445,2706.394396711369,0.00036949529647827147,0.9304
IVF,,,,10,57.349743127822876,2972.0750070718072,0.0003364652633666992,0.913
IVF,,,,100,54.25168514251709,1025.5526506585115,0.0009750840187072754,0.859028
HNSW,8,64,128,10,18.302919149398804,988.5557394252236,0.001011576747894287,0.80088
HNSW,8,64,128,100,22.849056005477905,441.5331615163251,0.0022648355484008787,0.719448
HNSW,8,64,512,10,20.997917890548706,2005.9920963709383,0.0004985064506530762,0.8772
HNSW,8,64,512,100,21.328724145889282,300.1322232060528,0.003331864833831787,0.821344
HNSW,8,512,128,1,54.118324995040894,3785.676558053123,0.0002641535758972168,0.8504
HNSW,8,512,128,10,64.53151798248291,3722.3383039011255,0.0002686483383178711,0.82792
HNSW,8,512,128,100,57.76158809661865,1101.0141090742923,0.0009082535743713379,0.744204
HNSW,8,512,512,1,58.32446599006653,2514.159554720307,0.00039774723052978515,0.93
HNSW,8,512,512,10,63.93377614021301,2339.1674059922516,0.0004275025367736816,0.90508
HNSW,8,512,512,100,73.19372010231018,942.2562350421487,0.001061282444000244,0.848292
HNSW,64,64,128,1,25.352991819381714,2951.4729695914766,0.0003388138771057129,0.9304
HNSW,64,64,128,10,28.483516931533813,2876.6743719921933,0.0003476236343383789,0.90596
HNSW,64,64,128,100,37.08089876174927,884.7474851282914,0.001130265998840332,0.833992
HNSW,64,64,512,1,30.46021008491516,1521.6290016413827,0.0006571904182434082,0.9656
HNSW,64,64,512,10,43.735498905181885,1242.3952497377059,0.0008048968315124512,0.95012
HNSW,64,64,512,100,36.13820219039917,540.4934251949205,0.0018501612663269042,0.911972
HNSW,64,512,128,1,202.29641819000244,482.64680248380535,0.002071908473968506,0.9668
HNSW,64,512,128,10,182.1348798274994,1927.727145541767,0.0005187456130981446,0.94568
HNSW,64,512,128,100,326.1966531276703,309.14098879383965,0.0032347700119018555,0.899724
HNSW,64,512,512,1,201.3979880809784,303.5901148958252,0.0032939148902893065,0.9772
HNSW,64,512,512,10,199.86403799057007,319.2985040708446,0.0031318655967712402,0.96916
HNSW,64,512,512,100,181.61391806602478,536.9775583205748,0.001862275218963623,0.944492
