0.07%,9.938MiB / 5GiB,2024-03-07 20:36:41
0.20%,13.54MiB / 5GiB,2024-03-07 20:36:48
0.03%,13.41MiB / 5GiB,2024-03-07 20:36:55
0.03%,13.41MiB / 5GiB,2024-03-07 20:37:02
0.02%,13.41MiB / 5GiB,2024-03-07 20:37:09
0.03%,9.707MiB / 5GiB,2024-03-07 20:37:55
98.62%,183.1MiB / 5GiB,2024-03-07 20:38:03
96.23%,356.5MiB / 5GiB,2024-03-07 20:38:10
99.25%,385.6MiB / 5GiB,2024-03-07 20:38:17
101.37%,510.4MiB / 5GiB,2024-03-07 20:38:24
99.92%,531.5MiB / 5GiB,2024-03-07 20:38:31
99.74%,554.3MiB / 5GiB,2024-03-07 20:38:38
101.24%,606.4MiB / 5GiB,2024-03-07 20:38:45
99.99%,762.7MiB / 5GiB,2024-03-07 20:38:52
99.64%,814.5MiB / 5GiB,2024-03-07 20:38:59
99.46%,815MiB / 5GiB,2024-03-07 20:39:06
103.82%,842.3MiB / 5GiB,2024-03-07 20:39:13
101.13%,838.3MiB / 5GiB,2024-03-07 20:39:20
98.95%,866.4MiB / 5GiB,2024-03-07 20:39:28
99.92%,904.6MiB / 5GiB,2024-03-07 20:39:35
99.78%,948.1MiB / 5GiB,2024-03-07 20:39:42
99.20%,1002MiB / 5GiB,2024-03-07 20:39:49
103.02%,1.027GiB / 5GiB,2024-03-07 20:39:56
98.89%,1.025GiB / 5GiB,2024-03-07 20:40:03
101.05%,1.029GiB / 5GiB,2024-03-07 20:40:10
98.95%,1.045GiB / 5GiB,2024-03-07 20:40:17
100.45%,1.116GiB / 5GiB,2024-03-07 20:40:24
99.87%,1.115GiB / 5GiB,2024-03-07 20:40:31
99.76%,1.123GiB / 5GiB,2024-03-07 20:40:38
101.29%,1.13GiB / 5GiB,2024-03-07 20:40:45
99.51%,1.159GiB / 5GiB,2024-03-07 20:40:52
101.06%,1.14GiB / 5GiB,2024-03-07 20:40:59
99.16%,1.15GiB / 5GiB,2024-03-07 20:41:06
99.22%,1.215GiB / 5GiB,2024-03-07 20:41:13
101.37%,1.208GiB / 5GiB,2024-03-07 20:41:21
99.30%,1.236GiB / 5GiB,2024-03-07 20:41:28
101.43%,1.256GiB / 5GiB,2024-03-07 20:41:35
99.09%,1.264GiB / 5GiB,2024-03-07 20:41:42
100.65%,1.266GiB / 5GiB,2024-03-07 20:41:49
