0.06%,9.723MiB / 5GiB,2024-03-08 05:35:18
0.12%,13.57MiB / 5GiB,2024-03-08 05:35:25
0.03%,13.45MiB / 5GiB,2024-03-08 05:35:32
0.03%,13.45MiB / 5GiB,2024-03-08 05:35:39
0.03%,13.45MiB / 5GiB,2024-03-08 05:35:46
0.03%,13.45MiB / 5GiB,2024-03-08 05:35:53
0.08%,13.45MiB / 5GiB,2024-03-08 05:36:00
0.03%,13.45MiB / 5GiB,2024-03-08 05:36:08
0.09%,13.45MiB / 5GiB,2024-03-08 05:36:15
0.05%,13.45MiB / 5GiB,2024-03-08 05:36:22
0.03%,13.45MiB / 5GiB,2024-03-08 05:36:29
0.01%,77.5MiB / 5GiB,2024-03-08 05:36:36
99.81%,227.4MiB / 5GiB,2024-03-08 05:36:43
98.34%,364.8MiB / 5GiB,2024-03-08 05:36:50
99.17%,501.2MiB / 5GiB,2024-03-08 05:36:57
100.05%,550.9MiB / 5GiB,2024-03-08 05:37:04
97.67%,586.1MiB / 5GiB,2024-03-08 05:37:12
99.89%,574.3MiB / 5GiB,2024-03-08 05:37:19
99.57%,774MiB / 5GiB,2024-03-08 05:37:26
98.43%,827.8MiB / 5GiB,2024-03-08 05:37:33
98.68%,829.1MiB / 5GiB,2024-03-08 05:37:40
102.23%,869.8MiB / 5GiB,2024-03-08 05:37:47
99.42%,871.5MiB / 5GiB,2024-03-08 05:37:54
100.53%,873.2MiB / 5GiB,2024-03-08 05:38:01
98.68%,803.7MiB / 5GiB,2024-03-08 05:38:08
100.84%,805.4MiB / 5GiB,2024-03-08 05:38:15
99.48%,801.5MiB / 5GiB,2024-03-08 05:38:22
101.33%,803.2MiB / 5GiB,2024-03-08 05:38:29
98.12%,780.2MiB / 5GiB,2024-03-08 05:38:36
101.63%,708.4MiB / 5GiB,2024-03-08 05:38:43
99.20%,708.8MiB / 5GiB,2024-03-08 05:38:50
99.11%,708.8MiB / 5GiB,2024-03-08 05:38:57
100.36%,709.1MiB / 5GiB,2024-03-08 05:39:04
98.71%,684.7MiB / 5GiB,2024-03-08 05:39:12
95.14%,545.7MiB / 5GiB,2024-03-08 05:39:19
93.59%,545.9MiB / 5GiB,2024-03-08 05:39:26
93.30%,520.5MiB / 5GiB,2024-03-08 05:39:33
91.80%,520.7MiB / 5GiB,2024-03-08 05:39:40
92.76%,521MiB / 5GiB,2024-03-08 05:39:47
93.86%,520.6MiB / 5GiB,2024-03-08 05:39:54
92.08%,520.5MiB / 5GiB,2024-03-08 05:40:01
93.20%,520.7MiB / 5GiB,2024-03-08 05:40:08
90.08%,520.6MiB / 5GiB,2024-03-08 05:40:15
94.30%,520.7MiB / 5GiB,2024-03-08 05:40:22
93.95%,520.8MiB / 5GiB,2024-03-08 05:40:29
95.92%,520.6MiB / 5GiB,2024-03-08 05:40:36
91.46%,520.5MiB / 5GiB,2024-03-08 05:40:43
95.15%,520.6MiB / 5GiB,2024-03-08 05:40:50
93.47%,520.5MiB / 5GiB,2024-03-08 05:40:57
95.09%,520.5MiB / 5GiB,2024-03-08 05:41:04
94.65%,520.6MiB / 5GiB,2024-03-08 05:41:11
95.11%,520.5MiB / 5GiB,2024-03-08 05:41:19
