0.02%,9.715MiB / 5GiB,2024-03-08 01:24:42
0.07%,13.57MiB / 5GiB,2024-03-08 01:24:50
0.02%,13.45MiB / 5GiB,2024-03-08 01:24:57
0.07%,13.45MiB / 5GiB,2024-03-08 01:25:04
0.02%,13.45MiB / 5GiB,2024-03-08 01:25:11
0.04%,13.45MiB / 5GiB,2024-03-08 01:25:18
0.03%,13.45MiB / 5GiB,2024-03-08 01:25:25
0.02%,13.45MiB / 5GiB,2024-03-08 01:25:32
0.02%,13.45MiB / 5GiB,2024-03-08 01:25:39
30.07%,110.3MiB / 5GiB,2024-03-08 01:25:46
96.34%,202.4MiB / 5GiB,2024-03-08 01:25:54
96.21%,300.6MiB / 5GiB,2024-03-08 01:26:01
97.52%,341MiB / 5GiB,2024-03-08 01:26:08
98.20%,449.4MiB / 5GiB,2024-03-08 01:26:15
99.56%,470.6MiB / 5GiB,2024-03-08 01:26:22
99.42%,491.8MiB / 5GiB,2024-03-08 01:26:29
98.19%,529.3MiB / 5GiB,2024-03-08 01:26:36
97.09%,679.2MiB / 5GiB,2024-03-08 01:26:43
97.00%,707.4MiB / 5GiB,2024-03-08 01:26:50
99.72%,726.4MiB / 5GiB,2024-03-08 01:26:57
101.08%,732.5MiB / 5GiB,2024-03-08 01:27:04
99.75%,733.6MiB / 5GiB,2024-03-08 01:27:11
100.60%,735.3MiB / 5GiB,2024-03-08 01:27:18
99.65%,736.7MiB / 5GiB,2024-03-08 01:27:25
99.82%,738.4MiB / 5GiB,2024-03-08 01:27:32
99.43%,740MiB / 5GiB,2024-03-08 01:27:39
101.06%,741.6MiB / 5GiB,2024-03-08 01:27:46
99.20%,742.7MiB / 5GiB,2024-03-08 01:27:53
100.77%,744.2MiB / 5GiB,2024-03-08 01:28:01
98.95%,745.5MiB / 5GiB,2024-03-08 01:28:08
100.25%,747MiB / 5GiB,2024-03-08 01:28:15
100.01%,655.8MiB / 5GiB,2024-03-08 01:28:22
100.32%,774.6MiB / 5GiB,2024-03-08 01:28:29
99.58%,777.7MiB / 5GiB,2024-03-08 01:28:36
100.57%,779.7MiB / 5GiB,2024-03-08 01:28:43
99.20%,781.4MiB / 5GiB,2024-03-08 01:28:50
100.79%,783.7MiB / 5GiB,2024-03-08 01:28:57
99.85%,785.1MiB / 5GiB,2024-03-08 01:29:04
100.91%,786.4MiB / 5GiB,2024-03-08 01:29:11
99.86%,788.1MiB / 5GiB,2024-03-08 01:29:18
99.82%,789.5MiB / 5GiB,2024-03-08 01:29:25
101.79%,791.3MiB / 5GiB,2024-03-08 01:29:32
99.56%,793.2MiB / 5GiB,2024-03-08 01:29:39
