0.04%,9.703MiB / 5GiB,2024-03-08 08:20:27
0.06%,13.52MiB / 5GiB,2024-03-08 08:20:34
0.02%,13.41MiB / 5GiB,2024-03-08 08:20:41
0.03%,13.41MiB / 5GiB,2024-03-08 08:20:48
0.03%,13.41MiB / 5GiB,2024-03-08 08:20:55
0.04%,13.41MiB / 5GiB,2024-03-08 08:21:03
0.03%,13.41MiB / 5GiB,2024-03-08 08:21:10
0.03%,13.41MiB / 5GiB,2024-03-08 08:21:17
0.03%,13.41MiB / 5GiB,2024-03-08 08:21:24
33.31%,101.2MiB / 5GiB,2024-03-08 08:21:31
79.98%,176.1MiB / 5GiB,2024-03-08 08:21:38
98.08%,271.9MiB / 5GiB,2024-03-08 08:21:45
98.43%,382.8MiB / 5GiB,2024-03-08 08:21:52
98.40%,396.2MiB / 5GiB,2024-03-08 08:22:00
99.00%,497MiB / 5GiB,2024-03-08 08:22:07
96.55%,522.3MiB / 5GiB,2024-03-08 08:22:14
97.03%,521.6MiB / 5GiB,2024-03-08 08:22:21
94.49%,629.3MiB / 5GiB,2024-03-08 08:22:28
98.00%,632.3MiB / 5GiB,2024-03-08 08:22:35
97.39%,668.1MiB / 5GiB,2024-03-08 08:22:42
100.47%,680.8MiB / 5GiB,2024-03-08 08:22:49
99.64%,683.6MiB / 5GiB,2024-03-08 08:22:56
98.98%,686MiB / 5GiB,2024-03-08 08:23:03
101.80%,749.6MiB / 5GiB,2024-03-08 08:23:10
99.28%,776.5MiB / 5GiB,2024-03-08 08:23:17
98.98%,745.2MiB / 5GiB,2024-03-08 08:23:24
99.36%,748.8MiB / 5GiB,2024-03-08 08:23:31
98.82%,751.4MiB / 5GiB,2024-03-08 08:23:38
101.40%,748MiB / 5GiB,2024-03-08 08:23:45
99.41%,750.6MiB / 5GiB,2024-03-08 08:23:52
98.71%,753.2MiB / 5GiB,2024-03-08 08:24:00
100.64%,755.4MiB / 5GiB,2024-03-08 08:24:07
100.24%,757.7MiB / 5GiB,2024-03-08 08:24:14
98.97%,759.7MiB / 5GiB,2024-03-08 08:24:21
99.55%,762.4MiB / 5GiB,2024-03-08 08:24:28
99.50%,764.2MiB / 5GiB,2024-03-08 08:24:35
99.19%,765.9MiB / 5GiB,2024-03-08 08:24:42
101.86%,504.9MiB / 5GiB,2024-03-08 08:24:49
42.42%,520.8MiB / 5GiB,2024-03-08 08:24:56
45.83%,405.7MiB / 5GiB,2024-03-08 08:25:03
43.87%,406MiB / 5GiB,2024-03-08 08:25:10
22.23%,148MiB / 5GiB,2024-03-08 08:25:17
0.02%,148MiB / 5GiB,2024-03-08 08:25:24
0.03%,119.3MiB / 5GiB,2024-03-08 08:25:31
0.03%,119.3MiB / 5GiB,2024-03-08 08:25:39
0.03%,119.3MiB / 5GiB,2024-03-08 08:25:46
0.02%,119.3MiB / 5GiB,2024-03-08 08:25:53
0.02%,119.3MiB / 5GiB,2024-03-08 08:26:00
0.17%,119.3MiB / 5GiB,2024-03-08 08:26:07
0.03%,119.3MiB / 5GiB,2024-03-08 08:26:14
26.19%,188.7MiB / 5GiB,2024-03-08 08:26:21
99.87%,293.1MiB / 5GiB,2024-03-08 08:26:28
102.98%,370.1MiB / 5GiB,2024-03-08 08:26:36
99.81%,458.9MiB / 5GiB,2024-03-08 08:26:43
99.32%,450.8MiB / 5GiB,2024-03-08 08:26:50
98.44%,586.5MiB / 5GiB,2024-03-08 08:26:57
98.59%,593.3MiB / 5GiB,2024-03-08 08:27:04
93.11%,533.9MiB / 5GiB,2024-03-08 08:27:11
100.06%,702MiB / 5GiB,2024-03-08 08:27:18
98.88%,717MiB / 5GiB,2024-03-08 08:27:25
99.30%,754.7MiB / 5GiB,2024-03-08 08:27:32
101.54%,745.6MiB / 5GiB,2024-03-08 08:27:39
98.68%,749.4MiB / 5GiB,2024-03-08 08:27:46
101.45%,751.7MiB / 5GiB,2024-03-08 08:27:53
100.16%,756.1MiB / 5GiB,2024-03-08 08:28:00
98.63%,822.2MiB / 5GiB,2024-03-08 08:28:07
100.40%,826.6MiB / 5GiB,2024-03-08 08:28:14
101.94%,801.9MiB / 5GiB,2024-03-08 08:28:21
99.03%,804.2MiB / 5GiB,2024-03-08 08:28:29
99.42%,807.1MiB / 5GiB,2024-03-08 08:28:36
100.09%,809.7MiB / 5GiB,2024-03-08 08:28:43
99.70%,811.8MiB / 5GiB,2024-03-08 08:28:50
102.03%,814.1MiB / 5GiB,2024-03-08 08:28:57
99.50%,814MiB / 5GiB,2024-03-08 08:29:04
99.04%,816MiB / 5GiB,2024-03-08 08:29:11
103.18%,817.8MiB / 5GiB,2024-03-08 08:29:18
100.77%,819.9MiB / 5GiB,2024-03-08 08:29:25
99.18%,821.9MiB / 5GiB,2024-03-08 08:29:32
99.32%,840.1MiB / 5GiB,2024-03-08 08:29:39
71.25%,545.3MiB / 5GiB,2024-03-08 08:29:46
72.88%,473.2MiB / 5GiB,2024-03-08 08:29:53
68.59%,473.1MiB / 5GiB,2024-03-08 08:30:00
70.43%,473.3MiB / 5GiB,2024-03-08 08:30:07
62.71%,473.5MiB / 5GiB,2024-03-08 08:30:14
68.57%,473.6MiB / 5GiB,2024-03-08 08:30:22
61.00%,473.3MiB / 5GiB,2024-03-08 08:30:29
0.03%,215MiB / 5GiB,2024-03-08 08:30:36
0.03%,194.3MiB / 5GiB,2024-03-08 08:30:43
0.02%,194.3MiB / 5GiB,2024-03-08 08:30:50
0.03%,194.3MiB / 5GiB,2024-03-08 08:30:57
0.02%,194.3MiB / 5GiB,2024-03-08 08:31:04
0.07%,194.3MiB / 5GiB,2024-03-08 08:31:11
0.02%,194.3MiB / 5GiB,2024-03-08 08:31:18
0.03%,194.3MiB / 5GiB,2024-03-08 08:31:26
35.31%,226.9MiB / 5GiB,2024-03-08 08:31:33
0.03%,285MiB / 5GiB,2024-03-08 08:31:40
101.07%,375.3MiB / 5GiB,2024-03-08 08:31:47
104.20%,540.1MiB / 5GiB,2024-03-08 08:31:54
100.21%,566MiB / 5GiB,2024-03-08 08:32:01
101.32%,606.3MiB / 5GiB,2024-03-08 08:32:08
104.05%,733.8MiB / 5GiB,2024-03-08 08:32:15
100.66%,769.1MiB / 5GiB,2024-03-08 08:32:22
99.36%,769.1MiB / 5GiB,2024-03-08 08:32:29
102.25%,829.7MiB / 5GiB,2024-03-08 08:32:36
98.61%,846.5MiB / 5GiB,2024-03-08 08:32:43
100.91%,877.9MiB / 5GiB,2024-03-08 08:32:51
100.01%,887.4MiB / 5GiB,2024-03-08 08:32:58
100.16%,895.2MiB / 5GiB,2024-03-08 08:33:05
102.32%,903.1MiB / 5GiB,2024-03-08 08:33:12
99.55%,911.1MiB / 5GiB,2024-03-08 08:33:19
104.03%,870.2MiB / 5GiB,2024-03-08 08:33:26
99.61%,921.1MiB / 5GiB,2024-03-08 08:33:33
102.23%,942.6MiB / 5GiB,2024-03-08 08:33:40
101.55%,957.7MiB / 5GiB,2024-03-08 08:33:47
98.44%,969.1MiB / 5GiB,2024-03-08 08:33:54
99.47%,980.1MiB / 5GiB,2024-03-08 08:34:01
100.07%,988.1MiB / 5GiB,2024-03-08 08:34:08
99.27%,998.1MiB / 5GiB,2024-03-08 08:34:15
99.20%,1007MiB / 5GiB,2024-03-08 08:34:22
101.29%,1016MiB / 5GiB,2024-03-08 08:34:29
99.53%,1GiB / 5GiB,2024-03-08 08:34:36
98.52%,1.009GiB / 5GiB,2024-03-08 08:34:44
100.77%,1.016GiB / 5GiB,2024-03-08 08:34:51
99.30%,1.024GiB / 5GiB,2024-03-08 08:34:58
100.57%,1.033GiB / 5GiB,2024-03-08 08:35:05
99.53%,1.04GiB / 5GiB,2024-03-08 08:35:12
100.54%,1.047GiB / 5GiB,2024-03-08 08:35:19
100.51%,1.054GiB / 5GiB,2024-03-08 08:35:26
99.68%,1.061GiB / 5GiB,2024-03-08 08:35:33
100.59%,1.068GiB / 5GiB,2024-03-08 08:35:40
99.59%,1.075GiB / 5GiB,2024-03-08 08:35:47
99.25%,1.082GiB / 5GiB,2024-03-08 08:35:54
99.45%,1.088GiB / 5GiB,2024-03-08 08:36:01
101.96%,1.095GiB / 5GiB,2024-03-08 08:36:08
100.12%,1.101GiB / 5GiB,2024-03-08 08:36:15
98.72%,1.077GiB / 5GiB,2024-03-08 08:36:22
101.00%,1.083GiB / 5GiB,2024-03-08 08:36:29
101.00%,1.09GiB / 5GiB,2024-03-08 08:36:36
99.37%,1.096GiB / 5GiB,2024-03-08 08:36:44
101.87%,1.102GiB / 5GiB,2024-03-08 08:36:51
98.98%,1.108GiB / 5GiB,2024-03-08 08:36:58
99.78%,1.114GiB / 5GiB,2024-03-08 08:37:05
98.30%,1.061GiB / 5GiB,2024-03-08 08:37:12
72.15%,847MiB / 5GiB,2024-03-08 08:37:19
71.06%,594.6MiB / 5GiB,2024-03-08 08:37:26
69.46%,594.6MiB / 5GiB,2024-03-08 08:37:33
67.09%,594.5MiB / 5GiB,2024-03-08 08:37:40
72.82%,594.9MiB / 5GiB,2024-03-08 08:37:47
67.48%,595.2MiB / 5GiB,2024-03-08 08:37:54
65.86%,595MiB / 5GiB,2024-03-08 08:38:01
0.03%,319.3MiB / 5GiB,2024-03-08 08:38:08
0.05%,319.3MiB / 5GiB,2024-03-08 08:38:15
0.03%,292.8MiB / 5GiB,2024-03-08 08:38:22
0.02%,292.8MiB / 5GiB,2024-03-08 08:38:29
0.02%,292.8MiB / 5GiB,2024-03-08 08:38:37
0.04%,292.8MiB / 5GiB,2024-03-08 08:38:44
0.08%,292.8MiB / 5GiB,2024-03-08 08:38:51
0.03%,292.8MiB / 5GiB,2024-03-08 08:38:58
0.04%,292.8MiB / 5GiB,2024-03-08 08:39:05
0.03%,351.8MiB / 5GiB,2024-03-08 08:39:12
104.17%,447.7MiB / 5GiB,2024-03-08 08:39:19
101.13%,525.5MiB / 5GiB,2024-03-08 08:39:26
103.72%,585MiB / 5GiB,2024-03-08 08:39:34
101.50%,621MiB / 5GiB,2024-03-08 08:39:41
100.37%,752.3MiB / 5GiB,2024-03-08 08:39:48
103.72%,782.1MiB / 5GiB,2024-03-08 08:39:55
100.42%,799.2MiB / 5GiB,2024-03-08 08:40:02
101.50%,844.5MiB / 5GiB,2024-03-08 08:40:09
100.95%,887.4MiB / 5GiB,2024-03-08 08:40:16
99.02%,890.3MiB / 5GiB,2024-03-08 08:40:23
98.57%,901.5MiB / 5GiB,2024-03-08 08:40:30
93.52%,748.4MiB / 5GiB,2024-03-08 08:40:37
99.45%,902.2MiB / 5GiB,2024-03-08 08:40:44
100.55%,925.4MiB / 5GiB,2024-03-08 08:40:51
102.65%,940.2MiB / 5GiB,2024-03-08 08:40:58
99.28%,951.9MiB / 5GiB,2024-03-08 08:41:05
100.59%,962.4MiB / 5GiB,2024-03-08 08:41:12
99.55%,970.9MiB / 5GiB,2024-03-08 08:41:19
99.53%,980.1MiB / 5GiB,2024-03-08 08:41:27
99.47%,989.4MiB / 5GiB,2024-03-08 08:41:34
98.50%,998.1MiB / 5GiB,2024-03-08 08:41:41
100.88%,1007MiB / 5GiB,2024-03-08 08:41:48
99.18%,1012MiB / 5GiB,2024-03-08 08:41:55
98.97%,1020MiB / 5GiB,2024-03-08 08:42:02
102.65%,1.004GiB / 5GiB,2024-03-08 08:42:09
100.09%,1.011GiB / 5GiB,2024-03-08 08:42:16
99.51%,1.019GiB / 5GiB,2024-03-08 08:42:23
100.33%,1.026GiB / 5GiB,2024-03-08 08:42:30
99.04%,1.033GiB / 5GiB,2024-03-08 08:42:37
101.89%,1.04GiB / 5GiB,2024-03-08 08:42:44
99.84%,1.047GiB / 5GiB,2024-03-08 08:42:51
