0.04%,14.97MiB / 5GiB,2024-03-07 20:00:57
0.03%,176.6MiB / 5GiB,2024-03-07 20:01:04
0.00%,0B / 0B,2024-03-07 20:01:54
0.00%,0B / 0B,2024-03-07 20:02:04
4.70%,13.52MiB / 5GiB,2024-03-07 20:02:20
0.03%,173.2MiB / 5GiB,2024-03-07 20:02:27
55.88%,228.6MiB / 5GiB,2024-03-07 20:02:34
0.04%,214.4MiB / 5GiB,2024-03-07 20:02:41
96.18%,386.3MiB / 5GiB,2024-03-07 20:02:49
99.77%,464.4MiB / 5GiB,2024-03-07 20:02:56
99.50%,507.4MiB / 5GiB,2024-03-07 20:03:03
99.71%,396.5MiB / 5GiB,2024-03-07 20:03:10
99.85%,591.8MiB / 5GiB,2024-03-07 20:03:17
99.88%,634.9MiB / 5GiB,2024-03-07 20:03:24
97.14%,656.3MiB / 5GiB,2024-03-07 20:03:31
99.78%,760.2MiB / 5GiB,2024-03-07 20:03:38
100.31%,761.6MiB / 5GiB,2024-03-07 20:03:45
99.09%,778.2MiB / 5GiB,2024-03-07 20:03:52
100.60%,834MiB / 5GiB,2024-03-07 20:03:59
99.52%,845.1MiB / 5GiB,2024-03-07 20:04:06
99.18%,909.7MiB / 5GiB,2024-03-07 20:04:13
100.31%,872.1MiB / 5GiB,2024-03-07 20:04:20
100.59%,670.3MiB / 5GiB,2024-03-07 20:04:27
100.25%,673.7MiB / 5GiB,2024-03-07 20:04:34
99.85%,674.9MiB / 5GiB,2024-03-07 20:04:41
100.47%,676.6MiB / 5GiB,2024-03-07 20:04:48
99.89%,677.1MiB / 5GiB,2024-03-07 20:04:55
100.70%,677.3MiB / 5GiB,2024-03-07 20:05:02
47.00%,564MiB / 5GiB,2024-03-07 20:05:10
27.03%,165.5MiB / 5GiB,2024-03-07 20:05:17
0.03%,317.9MiB / 5GiB,2024-03-07 20:05:24
72.45%,319.8MiB / 5GiB,2024-03-07 20:05:31
0.04%,326.5MiB / 5GiB,2024-03-07 20:05:38
96.69%,492.5MiB / 5GiB,2024-03-07 20:05:45
99.58%,575MiB / 5GiB,2024-03-07 20:05:52
99.01%,580.9MiB / 5GiB,2024-03-07 20:05:59
97.78%,592.3MiB / 5GiB,2024-03-07 20:06:06
99.46%,682MiB / 5GiB,2024-03-07 20:06:13
95.55%,722.4MiB / 5GiB,2024-03-07 20:06:20
98.87%,730.7MiB / 5GiB,2024-03-07 20:06:27
99.26%,858.4MiB / 5GiB,2024-03-07 20:06:34
102.30%,878.4MiB / 5GiB,2024-03-07 20:06:41
100.16%,892.6MiB / 5GiB,2024-03-07 20:06:48
100.01%,934.1MiB / 5GiB,2024-03-07 20:06:55
99.20%,952.4MiB / 5GiB,2024-03-07 20:07:03
99.80%,965.4MiB / 5GiB,2024-03-07 20:07:10
99.69%,953.9MiB / 5GiB,2024-03-07 20:07:17
101.19%,769.5MiB / 5GiB,2024-03-07 20:07:24
100.27%,769.5MiB / 5GiB,2024-03-07 20:07:31
99.86%,770MiB / 5GiB,2024-03-07 20:07:38
101.31%,771.2MiB / 5GiB,2024-03-07 20:07:45
100.16%,771.2MiB / 5GiB,2024-03-07 20:07:52
52.96%,651.7MiB / 5GiB,2024-03-07 20:07:59
53.33%,652.5MiB / 5GiB,2024-03-07 20:08:06
