0.16%,9.695MiB / 5GiB,2024-03-07 23:41:09
0.02%,9.727MiB / 5GiB,2024-03-07 23:41:32
7.49%,13.5MiB / 5GiB,2024-03-07 23:41:39
0.03%,78.98MiB / 5GiB,2024-03-07 23:41:46
0.23%,9.707MiB / 5GiB,2024-03-07 23:43:04
0.06%,9.703MiB / 5GiB,2024-03-07 23:43:11
0.03%,13.38MiB / 5GiB,2024-03-07 23:43:18
0.13%,15.52MiB / 5GiB,2024-03-07 23:43:25
0.03%,15.53MiB / 5GiB,2024-03-07 23:43:32
0.03%,15.53MiB / 5GiB,2024-03-07 23:43:39
0.04%,15.53MiB / 5GiB,2024-03-07 23:43:46
0.04%,15.53MiB / 5GiB,2024-03-07 23:43:53
0.16%,15.54MiB / 5GiB,2024-03-07 23:44:01
0.05%,15.53MiB / 5GiB,2024-03-07 23:44:08
0.04%,15.53MiB / 5GiB,2024-03-07 23:44:15
0.05%,15.53MiB / 5GiB,2024-03-07 23:44:22
0.04%,15.53MiB / 5GiB,2024-03-07 23:44:29
0.05%,15.53MiB / 5GiB,2024-03-07 23:44:36
0.04%,15.53MiB / 5GiB,2024-03-07 23:44:43
0.15%,15.53MiB / 5GiB,2024-03-07 23:44:51
0.06%,15.53MiB / 5GiB,2024-03-07 23:44:58
0.03%,15.53MiB / 5GiB,2024-03-07 23:45:05
0.03%,15.53MiB / 5GiB,2024-03-07 23:45:12
0.03%,15.53MiB / 5GiB,2024-03-07 23:45:19
0.06%,15.53MiB / 5GiB,2024-03-07 23:45:26
0.04%,15.53MiB / 5GiB,2024-03-07 23:45:33
0.12%,15.76MiB / 5GiB,2024-03-07 23:45:40
0.05%,15.53MiB / 5GiB,2024-03-07 23:45:48
0.03%,15.53MiB / 5GiB,2024-03-07 23:45:55
0.04%,15.53MiB / 5GiB,2024-03-07 23:46:02
0.05%,15.53MiB / 5GiB,2024-03-07 23:46:09
0.04%,15.53MiB / 5GiB,2024-03-07 23:46:16
0.05%,15.53MiB / 5GiB,2024-03-07 23:46:23
0.18%,15.54MiB / 5GiB,2024-03-07 23:46:30
0.04%,15.53MiB / 5GiB,2024-03-07 23:46:38
0.05%,15.53MiB / 5GiB,2024-03-07 23:46:45
0.03%,15.53MiB / 5GiB,2024-03-07 23:46:52
0.04%,15.53MiB / 5GiB,2024-03-07 23:46:59
0.17%,15.53MiB / 5GiB,2024-03-07 23:47:06
0.06%,15.53MiB / 5GiB,2024-03-07 23:47:13
0.15%,15.53MiB / 5GiB,2024-03-07 23:47:20
0.03%,15.53MiB / 5GiB,2024-03-07 23:47:27
0.04%,15.53MiB / 5GiB,2024-03-07 23:47:35
0.04%,15.53MiB / 5GiB,2024-03-07 23:47:42
0.04%,15.53MiB / 5GiB,2024-03-07 23:47:49
0.15%,15.53MiB / 5GiB,2024-03-07 23:47:56
0.02%,15.53MiB / 5GiB,2024-03-07 23:48:03
0.02%,9.715MiB / 5GiB,2024-03-07 23:54:26
0.30%,9.711MiB / 5GiB,2024-03-07 23:54:33
5.93%,13.29MiB / 5GiB,2024-03-07 23:54:41
0.05%,15.52MiB / 5GiB,2024-03-07 23:54:48
0.04%,15.48MiB / 5GiB,2024-03-07 23:54:55
0.03%,9.727MiB / 5GiB,2024-03-07 23:57:29
0.03%,9.723MiB / 5GiB,2024-03-07 23:57:36
25.21%,107MiB / 5GiB,2024-03-07 23:57:43
0.03%,81.72MiB / 5GiB,2024-03-07 23:57:50
99.87%,182MiB / 5GiB,2024-03-07 23:57:57
100.03%,302.7MiB / 5GiB,2024-03-07 23:58:04
0.03%,254.7MiB / 5GiB,2024-03-07 23:58:11
99.40%,407MiB / 5GiB,2024-03-07 23:58:18
103.54%,448.6MiB / 5GiB,2024-03-07 23:58:25
101.06%,538.4MiB / 5GiB,2024-03-07 23:58:33
100.35%,510.8MiB / 5GiB,2024-03-07 23:58:40
99.74%,549.4MiB / 5GiB,2024-03-07 23:58:47
99.52%,566.9MiB / 5GiB,2024-03-07 23:58:54
98.52%,600.9MiB / 5GiB,2024-03-07 23:59:01
99.33%,655.3MiB / 5GiB,2024-03-07 23:59:08
99.21%,661.7MiB / 5GiB,2024-03-07 23:59:15
99.79%,699.7MiB / 5GiB,2024-03-07 23:59:22
99.25%,704MiB / 5GiB,2024-03-07 23:59:29
99.79%,689.8MiB / 5GiB,2024-03-07 23:59:36
100.30%,659.7MiB / 5GiB,2024-03-07 23:59:43
99.96%,660.7MiB / 5GiB,2024-03-07 23:59:50
101.27%,662.4MiB / 5GiB,2024-03-07 23:59:57
99.85%,663.4MiB / 5GiB,2024-03-08 00:00:04
100.24%,665MiB / 5GiB,2024-03-08 00:00:11
99.48%,666.4MiB / 5GiB,2024-03-08 00:00:18
100.19%,712.3MiB / 5GiB,2024-03-08 00:00:25
101.23%,759.2MiB / 5GiB,2024-03-08 00:00:32
99.65%,761.8MiB / 5GiB,2024-03-08 00:00:39
100.74%,764MiB / 5GiB,2024-03-08 00:00:46
100.21%,765.9MiB / 5GiB,2024-03-08 00:00:53
23.03%,160.8MiB / 5GiB,2024-03-08 00:01:01
0.02%,247.2MiB / 5GiB,2024-03-08 00:01:08
0.04%,207.9MiB / 5GiB,2024-03-08 00:01:15
99.73%,272.2MiB / 5GiB,2024-03-08 00:01:22
102.96%,426.7MiB / 5GiB,2024-03-08 00:01:29
100.00%,412.4MiB / 5GiB,2024-03-08 00:01:36
100.02%,505MiB / 5GiB,2024-03-08 00:01:43
100.60%,529.4MiB / 5GiB,2024-03-08 00:01:50
95.13%,555.9MiB / 5GiB,2024-03-08 00:01:57
98.93%,656MiB / 5GiB,2024-03-08 00:02:04
100.14%,646.8MiB / 5GiB,2024-03-08 00:02:11
100.04%,713.2MiB / 5GiB,2024-03-08 00:02:18
100.18%,696.7MiB / 5GiB,2024-03-08 00:02:25
99.22%,712.4MiB / 5GiB,2024-03-08 00:02:32
99.63%,731.5MiB / 5GiB,2024-03-08 00:02:39
99.72%,852.4MiB / 5GiB,2024-03-08 00:02:46
100.86%,888.4MiB / 5GiB,2024-03-08 00:02:53
100.78%,833.8MiB / 5GiB,2024-03-08 00:03:01
101.30%,834.5MiB / 5GiB,2024-03-08 00:03:08
100.03%,834.3MiB / 5GiB,2024-03-08 00:03:15
100.04%,835.4MiB / 5GiB,2024-03-08 00:03:22
99.35%,837MiB / 5GiB,2024-03-08 00:03:29
101.12%,838.8MiB / 5GiB,2024-03-08 00:03:36
99.99%,839.9MiB / 5GiB,2024-03-08 00:03:43
100.47%,841.6MiB / 5GiB,2024-03-08 00:03:50
100.28%,842.8MiB / 5GiB,2024-03-08 00:03:57
100.64%,845.2MiB / 5GiB,2024-03-08 00:04:04
99.60%,847.2MiB / 5GiB,2024-03-08 00:04:11
100.88%,848.7MiB / 5GiB,2024-03-08 00:04:18
100.39%,850MiB / 5GiB,2024-03-08 00:04:25
100.10%,851.1MiB / 5GiB,2024-03-08 00:04:32
0.03%,247.2MiB / 5GiB,2024-03-08 00:04:39
22.45%,333.7MiB / 5GiB,2024-03-08 00:04:46
0.02%,277MiB / 5GiB,2024-03-08 00:04:53
98.58%,395.6MiB / 5GiB,2024-03-08 00:05:01
97.58%,494.8MiB / 5GiB,2024-03-08 00:05:08
98.91%,536.5MiB / 5GiB,2024-03-08 00:05:15
99.74%,561.4MiB / 5GiB,2024-03-08 00:05:22
99.22%,651.1MiB / 5GiB,2024-03-08 00:05:29
100.66%,689.5MiB / 5GiB,2024-03-08 00:05:36
101.91%,756.3MiB / 5GiB,2024-03-08 00:05:43
99.32%,730.4MiB / 5GiB,2024-03-08 00:05:50
100.23%,762.1MiB / 5GiB,2024-03-08 00:05:57
96.12%,727MiB / 5GiB,2024-03-08 00:06:04
97.90%,955.6MiB / 5GiB,2024-03-08 00:06:11
