0.03%,9.723MiB / 5GiB,2024-03-08 11:14:10
0.10%,9.719MiB / 5GiB,2024-03-08 11:14:17
0.02%,78.52MiB / 5GiB,2024-03-08 11:14:25
27.96%,63.84MiB / 5GiB,2024-03-08 11:14:32
29.14%,62.88MiB / 5GiB,2024-03-08 11:14:39
4.61%,75.63MiB / 5GiB,2024-03-08 11:14:46
0.04%,84.2MiB / 5GiB,2024-03-08 11:14:53
2.83%,50.85MiB / 5GiB,2024-03-08 11:15:00
25.74%,73.09MiB / 5GiB,2024-03-08 11:15:07
37.92%,80.05MiB / 5GiB,2024-03-08 11:15:14
16.29%,62.71MiB / 5GiB,2024-03-08 11:15:21
6.51%,74.01MiB / 5GiB,2024-03-08 11:15:29
0.03%,50.44MiB / 5GiB,2024-03-08 11:15:36
0.03%,83.64MiB / 5GiB,2024-03-08 11:15:43
18.77%,84.44MiB / 5GiB,2024-03-08 11:15:50
33.88%,79.18MiB / 5GiB,2024-03-08 11:15:57
26.38%,81.09MiB / 5GiB,2024-03-08 11:16:04
19.96%,71.4MiB / 5GiB,2024-03-08 11:16:11
4.51%,71.83MiB / 5GiB,2024-03-08 11:16:18
0.03%,67.46MiB / 5GiB,2024-03-08 11:16:25
4.05%,78.4MiB / 5GiB,2024-03-08 11:16:32
21.92%,78.25MiB / 5GiB,2024-03-08 11:16:40
32.63%,85.43MiB / 5GiB,2024-03-08 11:16:47
33.33%,73.37MiB / 5GiB,2024-03-08 11:16:54
4.46%,79.02MiB / 5GiB,2024-03-08 11:17:01
0.03%,77.56MiB / 5GiB,2024-03-08 11:17:08
19.01%,75.32MiB / 5GiB,2024-03-08 11:17:15
29.74%,54.08MiB / 5GiB,2024-03-08 11:17:22
23.23%,70.95MiB / 5GiB,2024-03-08 11:17:29
0.70%,75.78MiB / 5GiB,2024-03-08 11:17:36
22.48%,75.31MiB / 5GiB,2024-03-08 11:17:43
