ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search,time_span_points,timestamp
64, 8, 64, 1, 9.516559613841663, 0.1552, 71.61176490783691, 262.69997787475586, 71.99078679084778, 07_03_24_21:26
64, 8, 64, 10, 13.718272455642907, 0.15769265112956515, 71.61176490783691, 182.23868989944458, 71.99078679084778, 07_03_24_21:29
64, 8, 64, 100, 7.237729528852105, 0.18240286434159925, 71.61176490783691, 345.4121890068054, 71.99078679084778, 07_03_24_21:35
64, 8, 512, 1, 19.06383660522539, 0.1668, 72.3246111869812, 131.13834595680237, 71.74157619476318, 07_03_24_21:39
64, 8, 512, 10, 45.667568120206965, 0.17177940542869452, 72.3246111869812, 54.74344491958618, 71.74157619476318, 07_03_24_21:40
64, 8, 512, 100, 42.20337914083851, 0.17626019361915207, 72.3246111869812, 59.23696279525757, 71.74157619476318, 07_03_24_21:41
64, 64, 64, 1, 5.493865837892884, 0.4584, 71.6371750831604, 455.0529761314392, 73.02147889137268, 07_03_24_21:51
64, 64, 64, 10, 7.0635778823813915, 0.44212257339964706, 71.6371750831604, 353.9282841682434, 73.02147889137268, 07_03_24_21:57
64, 64, 64, 100, 4.836275607776458, 0.4378296577580463, 71.6371750831604, 516.9267020225525, 73.02147889137268, 07_03_24_22:06
64, 64, 512, 1, 13.373254836865048, 0.5748, 70.45021796226501, 186.94027972221375, 72.45562791824341, 07_03_24_22:11
64, 64, 512, 10, 25.121237601588305, 0.5675205374124883, 70.45021796226501, 99.51739001274109, 72.45562791824341, 07_03_24_22:13
64, 64, 512, 100, 23.312509364207497, 0.5445388462929328, 70.45021796226501, 107.23856282234192, 72.45562791824341, 07_03_24_22:15
512, 8, 64, 1, 3.425182633351805, 0.2228, 70.8297688961029, 729.8880870342255, 72.22364091873169, 07_03_24_22:29
512, 8, 64, 10, 121.99681691082586, 0.10272616188429613, 70.8297688961029, 20.492337942123413, 72.22364091873169, 07_03_24_22:30
512, 8, 64, 100, 75.56912253102365, 0.11072345723846333, 70.8297688961029, 33.082294940948486, 72.22364091873169, 07_03_24_22:30
512, 8, 512, 1, 3.2623263171847143, 0.416, 71.81348085403442, 766.3243210315704, 72.04297804832458, 07_03_24_22:45
512, 8, 512, 10, 36.94745084026684, 0.34090629988947563, 71.81348085403442, 67.66366672515869, 72.04297804832458, 07_03_24_22:47
512, 8, 512, 100, 34.02207582942177, 0.3286998111381987, 71.81348085403442, 73.4817008972168, 72.04297804832458, 07_03_24_22:48
512, 64, 64, 1, 2.308891611737098, 0.798, 71.01311302185059, 1082.7706191539764, 71.97559094429016, 07_03_24_23:08
512, 64, 64, 10, 58.34708484926454, 0.72148, 71.01311302185059, 42.847042083740234, 71.97559094429016, 07_03_24_23:09
512, 64, 64, 100, 46.511412518901956, 0.649764, 71.01311302185059, 53.75024890899658, 71.97559094429016, 07_03_24_23:10
512, 64, 512, 1, 2.158787916035337, 0.922, 71.69421982765198, 1158.057251214981, 73.3128490447998, 07_03_24_23:32
512, 64, 512, 10, 16.632475857339728, 0.9091601218143933, 71.69421982765198, 150.30834984779358, 73.3128490447998, 07_03_24_23:34
512, 64, 512, 100, 15.357729740601538, 0.8884834974500433, 71.69421982765198, 162.78447675704956, 73.3128490447998, 07_03_24_23:37
