ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search,timestamp
64, 8, 64, 1, 556.9947305796362, 0.01, 2.1856131553649902, 0.179534912109375, 08_03_24_08:16
64, 8, 64, 10, 539.2522499357161, 0.019, 2.1856131553649902, 0.1854419708251953, 08_03_24_08:16
64, 8, 64, 100, 320.97463917841344, 0.0194, 2.1856131553649902, 0.3115510940551758, 08_03_24_08:16
64, 8, 128, 1, 631.6608735986699, 0.01, 2.0886261463165283, 0.15831279754638672, 08_03_24_08:16
64, 8, 128, 10, 518.3631096566248, 0.019, 2.0886261463165283, 0.1929149627685547, 08_03_24_08:17
64, 8, 128, 100, 356.159698109875, 0.0194, 2.0886261463165283, 0.2807729244232178, 08_03_24_08:17
64, 8, 256, 1, 617.6077606199779, 0.01, 2.0647642612457275, 0.16191506385803223, 08_03_24_08:17
64, 8, 256, 10, 561.9927994029426, 0.019, 2.0647642612457275, 0.17793822288513184, 08_03_24_08:17
64, 8, 256, 100, 322.3967236905216, 0.0194, 2.0647642612457275, 0.3101768493652344, 08_03_24_08:17
64, 8, 512, 1, 638.1858212509301, 0.01, 2.0830321311950684, 0.1566941738128662, 08_03_24_08:17
64, 8, 512, 10, 551.2706300774273, 0.019, 2.0830321311950684, 0.18139910697937012, 08_03_24_08:17
64, 8, 512, 100, 343.30268606287206, 0.0194, 2.0830321311950684, 0.2912881374359131, 08_03_24_08:17
64, 16, 64, 1, 632.2626548886008, 0.01, 2.1141250133514404, 0.15816211700439453, 08_03_24_08:17
64, 16, 64, 10, 581.4092816359233, 0.019, 2.1141250133514404, 0.1719958782196045, 08_03_24_08:17
64, 16, 64, 100, 349.49620864927925, 0.0194, 2.1141250133514404, 0.28612613677978516, 08_03_24_08:17
64, 16, 128, 1, 647.1233333230476, 0.01, 2.066082000732422, 0.15453004837036133, 08_03_24_08:17
64, 16, 128, 10, 594.4173601505635, 0.019, 2.066082000732422, 0.16823196411132812, 08_03_24_08:17
64, 16, 128, 100, 365.3730864819143, 0.0194, 2.066082000732422, 0.2736928462982178, 08_03_24_08:17
64, 16, 256, 1, 631.799790921662, 0.01, 2.10186505317688, 0.1582779884338379, 08_03_24_08:17
64, 16, 256, 10, 548.5059070615343, 0.019, 2.10186505317688, 0.1823134422302246, 08_03_24_08:17
64, 16, 256, 100, 344.60551526046476, 0.0194, 2.10186505317688, 0.29018688201904297, 08_03_24_08:17
64, 16, 512, 1, 634.2810565745559, 0.01, 2.0835819244384766, 0.15765881538391113, 08_03_24_08:17
64, 16, 512, 10, 526.1030555416186, 0.019, 2.0835819244384766, 0.1900768280029297, 08_03_24_08:17
64, 16, 512, 100, 380.2877610435486, 0.0194, 2.0835819244384766, 0.2629587650299072, 08_03_24_08:17
64, 32, 64, 1, 499.345683127768, 0.01, 2.0947158336639404, 0.20026206970214844, 08_03_24_08:17
64, 32, 64, 10, 550.3454827442325, 0.019, 2.0947158336639404, 0.18170404434204102, 08_03_24_08:17
64, 32, 64, 100, 366.4815169173047, 0.0194, 2.0947158336639404, 0.27286505699157715, 08_03_24_08:17
64, 32, 128, 1, 633.7740519010332, 0.01, 2.0712106227874756, 0.15778493881225586, 08_03_24_08:17
64, 32, 128, 10, 558.8835930119297, 0.019, 2.0712106227874756, 0.17892813682556152, 08_03_24_08:17
64, 32, 128, 100, 373.2161622740867, 0.0194, 2.0712106227874756, 0.2679412364959717, 08_03_24_08:17
64, 32, 256, 1, 611.4520130970118, 0.01, 2.0608768463134766, 0.1635451316833496, 08_03_24_08:17
64, 32, 256, 10, 578.6404177387202, 0.019, 2.0608768463134766, 0.17281889915466309, 08_03_24_08:17
64, 32, 256, 100, 353.99839809188944, 0.0194, 2.0608768463134766, 0.282487154006958, 08_03_24_08:17
64, 32, 512, 1, 644.4635314472029, 0.01, 2.0689821243286133, 0.155167818069458, 08_03_24_08:17
64, 32, 512, 10, 571.4575334552281, 0.019, 2.0689821243286133, 0.17499113082885742, 08_03_24_08:17
64, 32, 512, 100, 347.5140955055947, 0.0194, 2.0689821243286133, 0.28775811195373535, 08_03_24_08:17
64, 64, 64, 1, 636.5480168883952, 0.01, 2.0845439434051514, 0.15709733963012695, 08_03_24_08:17
64, 64, 64, 10, 551.4474775801704, 0.019, 2.0845439434051514, 0.18134093284606934, 08_03_24_08:17
