ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search
64, 8, 64, 1, 642.9254205383995, 1.0, 0.3044919967651367, 0.15553903579711914
64, 8, 64, 10, 611.9096353463808, 1.0, 0.3044919967651367, 0.1634228229522705
64, 8, 64, 100, 483.486568485508, 1.0, 0.3044919967651367, 0.2068309783935547
64, 8, 128, 1, 527.5907178940165, 1.0, 0.3370511531829834, 0.18954086303710938
64, 8, 128, 10, 577.1840304726676, 1.0, 0.3370511531829834, 0.17325496673583984
64, 8, 128, 100, 436.20510345860407, 1.0, 0.3370511531829834, 0.2292499542236328
64, 8, 256, 1, 542.2198895213323, 1.0, 0.341097354888916, 0.18442702293395996
64, 8, 256, 10, 468.43424303207104, 1.0, 0.341097354888916, 0.21347713470458984
64, 8, 256, 100, 377.5465215399253, 1.0, 0.341097354888916, 0.26486802101135254
64, 8, 512, 1, 509.54371565779707, 1.0, 0.32370686531066895, 0.19625401496887207
64, 8, 512, 10, 488.31618801022665, 1.0, 0.32370686531066895, 0.20478534698486328
64, 8, 512, 100, 434.7640948616765, 1.0, 0.32370686531066895, 0.2300097942352295
64, 16, 64, 1, 491.40559463499903, 1.0, 0.3025813102722168, 0.20349788665771484
64, 16, 64, 10, 462.44316352586804, 1.0, 0.3025813102722168, 0.21624279022216797
64, 16, 64, 100, 424.116462797449, 1.0, 0.3025813102722168, 0.23578429222106934
64, 16, 128, 1, 480.93529056981083, 1.0, 0.3313882350921631, 0.20792818069458008
64, 16, 128, 10, 457.2789188328785, 1.0, 0.3313882350921631, 0.21868491172790527
64, 16, 128, 100, 448.03090056870377, 1.0, 0.3313882350921631, 0.22319889068603516
64, 16, 256, 1, 558.5129770951706, 1.0, 0.32297706604003906, 0.1790468692779541
64, 16, 256, 10, 555.9544717688648, 1.0, 0.32297706604003906, 0.1798708438873291
64, 16, 256, 100, 451.534989272246, 1.0, 0.32297706604003906, 0.2214667797088623
64, 16, 512, 1, 532.0566927855348, 1.0, 0.3319361209869385, 0.18794989585876465
64, 16, 512, 10, 558.1510225373404, 1.0, 0.3319361209869385, 0.17916297912597656
64, 16, 512, 100, 392.2292981717866, 1.0, 0.3319361209869385, 0.25495290756225586
64, 32, 64, 1, 540.4996101829241, 1.0, 0.2882730960845947, 0.185014009475708
64, 32, 64, 10, 535.4781547386509, 1.0, 0.2882730960845947, 0.18674898147583008
64, 32, 64, 100, 443.97465060965345, 1.0, 0.2882730960845947, 0.22523808479309082
64, 32, 128, 1, 542.7376893265442, 1.0, 0.32816600799560547, 0.184251070022583
64, 32, 128, 10, 558.727249233704, 1.0, 0.32816600799560547, 0.17897820472717285
64, 32, 128, 100, 448.86518325727934, 1.0, 0.32816600799560547, 0.22278404235839844
64, 32, 256, 1, 461.2825673342352, 1.0, 0.33370089530944824, 0.21678686141967773
64, 32, 256, 10, 539.3853972695754, 1.0, 0.33370089530944824, 0.1853961944580078
64, 32, 256, 100, 451.52818401723306, 1.0, 0.33370089530944824, 0.22147011756896973
64, 32, 512, 1, 557.4196292112433, 1.0, 0.28586697578430176, 0.1793980598449707
64, 32, 512, 10, 543.5873908270768, 1.0, 0.28586697578430176, 0.18396306037902832
64, 32, 512, 100, 391.2790464453933, 1.0, 0.28586697578430176, 0.2555720806121826
64, 64, 64, 1, 566.7105337826334, 1.0, 0.30297088623046875, 0.17645692825317383
64, 64, 64, 10, 521.3080727292613, 1.0, 0.30297088623046875, 0.19182515144348145
64, 64, 64, 100, 374.735341128288, 1.0, 0.30297088623046875, 0.26685500144958496
64, 64, 128, 1, 540.1870555113375, 1.0, 0.2959468364715576, 0.1851210594177246
64, 64, 128, 10, 516.7206264259913, 1.0, 0.2959468364715576, 0.1935281753540039
64, 64, 128, 100, 420.6452234051942, 1.0, 0.2959468364715576, 0.2377300262451172
64, 64, 256, 1, 487.3408617430294, 1.0, 0.33213114738464355, 0.20519518852233887
64, 64, 256, 10, 552.984436079817, 1.0, 0.33213114738464355, 0.18083691596984863
64, 64, 256, 100, 479.1124838936662, 1.0, 0.33213114738464355, 0.20871925354003906
64, 64, 512, 1, 562.2685368269923, 1.0, 0.33743786811828613, 0.17785096168518066
64, 64, 512, 10, 554.7632242713144, 1.0, 0.33743786811828613, 0.18025708198547363
64, 64, 512, 100, 474.60622080602525, 1.0, 0.33743786811828613, 0.21070098876953125
128, 8, 64, 1, 549.5472525284024, 1.0, 0.29470324516296387, 0.18196797370910645
128, 8, 64, 10, 576.7007244673055, 1.0, 0.29470324516296387, 0.1734001636505127
128, 8, 64, 100, 393.1373725254949, 1.0, 0.29470324516296387, 0.254364013671875
128, 8, 128, 1, 562.1170737721835, 1.0, 0.296144962310791, 0.17789888381958008
128, 8, 128, 10, 573.0134854700925, 1.0, 0.296144962310791, 0.174515962600708
